Celestia,Celestia,Ward,1,Self,,,10 rounds or until hit,"Cancel magic on successful roll, is shaped like a shield"
Celestia,Celestia,Detect,3,Sight,,,10 rounds,See alignment of things
Celestia,Celestia,Purify,3,Touch,1D10,Radiant,1 round,Purifies items or people
Celestia,Celestia,Light,1,Self,,,5 minutes,Create an orb of light that follows you
Celestia,Blessing,Vision,5,Self,,,30 seconds,"Detect life, You can see life signs through walls"
Celestia,Blessing,Smite,4,On weapon,2D10,Radiant,One attack,Coats weapon in radiant magic
Celestia,Blessing,Faith,3,Projectile ,1D8,Radiant,1 round,Create a holy damage projectile
Celestia,Blessing,Bless,2,Target,,,Until used,Have advantage on your next check
Celestia,Strength,Strength,3,Touch,,,,
Celestia,Strength,Regen,4,Target,,,,
Celestia,Strength,Focus,3,Target,,,,
Celestia,Strength,Relax,2,Target,,,,
Celestia,White,Seraphim,8,Summon,,,,Summons a Valkyrie to assist you
Celestia,White,The White,7,Self,,,,
Celestia,White,Retribution,15,10x10 AoE,3d10 per square,Radiant,,A massive holy blast centered on yourself.
Celestia,White,Heaven,13,Summon,,Radiant,1d6 rounds,Summons a semblance of the Blade Heavens gate in your hand. 
Life,Life,Healing,2,Touch,1D20,,1 Round,Heals wounds to an extent. Can't heal large wounds.
Life,Life,Cure,3,Touch,,,1 Round,"Cures poison, acid and disease"
Life,Life,Protect,4,Touch,,,5 minutes or until hit,Bonus AC +2
Life,Life,Aura,1,5x5,2D4,,As long as caster wants,AOE healing of 2D4 per round
Life,Valor,Valor,3,Target,,,1D6 Rounds,Passive attack buff for 1D6 rounds
Life,Valor,Bestow ,3,Line of sight,,,Combined spell durration,Gives spells to others
Life,Valor,Morale,3,Target,,,1D6 Rounds,Passive saving throw advantage for 1D6 rounds
Life,Valor,Salve,4,6 Squares proj,1D12,,1 Round,Ranged Healing
Life,Restore,Boon,4,Target,,,,
Life,Restore,Turn,6,3x3 & 5x5,,Blast,,
Life,Restore,Restore,5,Target,,,,
Life,Restore,Manifest,5,Target,,,,
Life,Chance,Chance,9,Target,,,,
Life,Chance,Wish,30,anything,,,,
Life,Chance,Queen,15,summon,,,,
Life,Chance,Bulwark,15,Touch,,,1d6,
Earth,Earth,Stonefist ,1,Self/Touch,1D10,Blunt,,Encases fist in rock
Earth,Earth,Rise,3,Touch,,,,Creates a stone pillar
Earth,Earth,Rock,1,40ft,2D6,Projectile ,,Summon a rock projectile
Earth,Earth,Rock Wall,5,Ambient,,,,Creates a rock wall
Earth,Sand,Sand,2,20ft,2D6,Ray,,Softens earth
Earth,Sand,Quick Sand,3,Ambient,,,,Creates a pool of quicksand. Can only be cast on soft earth.
Earth,Sand,Sand Whip,4,Melee,1D8,Slashing,,Creates a whip of sand 
Earth,Sand,Repair,1,Object,,,,Allows user to repair small items made of earthen material(rock & metal)
Earth,Chasm,Shower,,,,,,
Earth,Chasm,Shard,,,,,,
Earth,Chasm,Spike,,,,,,
Earth,Chasm,Crystallize ,,,,,,
Earth,Fissure,Quake,,,,,,
Earth,Fissure,Boulder ,,,,,,
Earth,Fissure,Terra,,,,,,
Earth,Fissure,Crystal,,,,,,
Growth,Growth,Growth,Variant,3x3,,,,Grows plants from nothing in a 3X3
Growth,Growth,Whip ,2,30ft,1D8,Slash,,Creates a whip from plants with 30 ft of reach
Growth,Growth,Tangle ,3,4x4,,,,Ensnares living creatures
Growth,Growth,Poison ,4,Touch,1D12 per round,Poison,,Touch poison that lasts until the creature makes con save
Growth,Seed,Thorn,4,5x5,1D8,Slash,,Creates a thorn grove that inflicts damage per square
Growth,Seed,Fruit,1,15ft,,,,Grows a fruit that heals 1D10 upon consumption 
Growth,Seed,Seed,2,,2D6,Leech,,Leeches life from the creature hit
Growth,Seed,Infest,,,,,,
Growth,Bloom,Root,,,,,,
Growth,Bloom,Stem,,,,,,
Growth,Bloom,Leaf,,,,,,
Growth,Bloom,Petal Dance,,,,,,
Growth,Mother,Mother,,,,,,
Growth,Mother,Nature,,,,,,
Growth,Mother,Solar,,,,,,
Growth,Mother,Tree Speak,,,,,,
Fire,Fire,Fire,2,15ft,2D6,Ray,1 round,Fire ray
Fire,Fire,Ignite,1,Line of sight,,,,Ignites flamable object
Fire,Fire,Boil ,1,Room,,,,Boils liquids not in a living entity
Fire,Fire,Burn,3,Touch,1D10+(1D6*1D4),,1D4,Touch and set on fire (deals 1D6 each round) for 1D4 rounds
Fire,Flame,Flame Shot,3,Proj,1D6,Proj,1Round,Cast a fireball
Fire,Flame,Steam,5,25ft Cone,3D4,,1Round,"Blast of steam, either out of impliment or mouth"
Fire,Flame,Heat,1,Small room,,,5 minutes,Heats an area
Fire,Flame,Flame Guard,5,Self,,,10 Rounds,Resist 10 fire damage
Fire,Pyre,Fire Dance,Var ,,,,,
Fire,Pyre,Flame Sphere,8,,,,,
Fire,Pyre,Fireball,6,,,,,
Fire,Pyre,Pyre,6,,,,,
Fire,Eruption,Inferno,12,,,,,
Fire,Eruption,Blaze,9,,,,,
Fire,Eruption,Erupt,9,,,,,
Fire,Eruption,Molten,15,,,,,
Seas,Seas,Swim,1,Touch,,,5 Minutes,Turn into a merfolk
Seas,Seas,Ink,2,15 ft,,Ray,,Temp blindness
Seas,Seas,Fountain,3,Close,1D10,,,Create a gyser of water
Seas,Seas,Breathe,1,Touch,,,5 Minutes,Allows underwater breathing
Seas,Ocean,Claw,3,Self,1D10 ,Crushing/blud,Casting modifier,Gives caster a large crab claw inplace of hand
Seas,Ocean,Shell,3,Self,,,Encounter ,Envelops caster in a shell until dispelled or shattered
Seas,Ocean,Urchin,Var,Self,,,Depending,Covers in urchin armor spikes
Seas,Ocean,Douse,5,30 ft,3D6,Line,1 Round,ACreat a beam of water + 20 ft push back
Seas,The Deep,Sting,4,Self,1d10 ,"Poison, Stun",1d6 rounds,"Sting ray tail, can attack an extra time with it, it can deliver a dangerous lingering stunning poison "
Seas,The Deep,Jaws,6,Self,3d10,,1 Round,"Grow a set of Shark jaws, "
Seas,The Deep,Constrict,4,Self,2d10,Crushing,3 Rounds,"Gives caster 4 tentacles in place of one of their arms, can crush oponents or restrict them"
Seas,The Deep,Fluidity ,6,Self,,,,"Turns the Caster into water for a limited time, making them invulnerable, but not allowed to attack"
Seas,The Abyss,Saw,8,Self,3d12,Slash/Pierce,1 Round,"ignores Ac, leaves opponent crippled"
Seas,The Abyss,Thresher,7,Self,2d12,Break/Blunt,1d6+Casting Mod,"grow a thresher shark tail, which can attack and cause Break, also moves target 1d4 squares"
Seas,The Abyss,Trench,9,Area,,,,
Seas,The Abyss,Release,12,Summon,,,4 Rounds,Summons a Kraken to the batlefield
Wind,Wind,Gust,2,15ft,2D6,Ray,1 Round,Push back 1D4 spaces
Wind,Wind,Buffer,2,Self,,,1 round,Catch a projectile
Wind,Wind,Stream ,2,Close,1D8 ,Slash,1 round,Create a wind blade that slashes enemy
Wind,Wind,Float,2,Sight,,,5 minutes,Catch things on a plane
Wind,Gale,Gale,3,25 ft,1D12,,,Wind ball that pushes back 1D8 squares
Wind,Gale,Feather Fall,1,Self/Target,,,,Glides things down to ground or surface
Wind,Gale,Tailwind,2,Self,,,1D6+casting mod,plus 10 movement for 1D6+casting stat rounds
Wind,Gale,Wind Shield ,2,,,,,Shield of wind
Wind,Cyclone,Wind Burst,,,,,,
Wind,Cyclone,Cyclone,,,,,,
Wind,Cyclone,Wind Waltz,,,,,,
Wind,Cyclone,Suffocate,,,,,,
Wind,Zepher,Zephyr,,,,,,
Wind,Zepher,Tempest,,,,,,
